,Name,DateTime,OutcomeType,AnimalType,AgeuponOutcome,Color,Day_of_Week,Hour_0,Hour_12and13,Hour_14and15,Hour_16and19,Hour_17and18,Hour_7and8,Hour_9,Hour_other_time,My_Breeds_Australian Cattle Dog,My_Breeds_Australian Shepherd,My_Breeds_Border Collie,My_Breeds_Boxer,My_Breeds_Bulldog,My_Breeds_Catahoula,My_Breeds_Chihuahua Shorthair,My_Breeds_Dachshund,My_Breeds_Domestic Longhair,My_Breeds_Domestic Medium Hair,My_Breeds_Domestic Shorthair,My_Breeds_German Shepherd,My_Breeds_Husky,My_Breeds_Labrador Retriever,My_Breeds_Miniature Poodle,My_Breeds_Pit Bull,My_Breeds_Rat Terrier,My_Breeds_Rottweiler,My_Breeds_Siamese,My_Breeds_other
117,1,2015-11-05 00:00:00,Transfer,1,0.25,Black/White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15766,1,2013-10-11 13:13:00,Transfer,1,0.75,Black/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15369,0,2014-10-09 09:00:00,Transfer,0,0.3333333333333333,Black/White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18610,1,2015-06-30 12:03:00,Transfer,0,0.16666666666666666,Tortie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8463,1,2015-04-26 11:29:00,Return_to_owner,1,3.0,Tan/Black,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4527,1,2014-11-08 18:22:00,Return_to_owner,1,3.0,Cream/White,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13827,1,2015-07-01 17:09:00,Adoption,0,3.0,Orange Tabby,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7459,0,2014-10-28 11:30:00,Euthanasia,0,0.08333333333333333,Black,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1248,1,2015-10-09 13:39:00,Adoption,1,2.0,Brown/White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21865,1,2015-12-22 18:29:00,Adoption,1,1.0,White/Brown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18341,0,2015-01-29 09:00:00,Transfer,0,0.5,Brown Tabby/White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24038,1,2015-11-08 16:29:00,Adoption,1,1.0,Brown/White,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24725,1,2013-10-12 11:11:00,Transfer,0,0.08333333333333333,Brown Tabby,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20266,1,2015-06-09 17:54:00,Adoption,0,0.16666666666666666,White/Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9831,1,2014-02-24 11:13:00,Return_to_owner,1,2.0,Blue/Tan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10597,1,2014-02-03 17:19:00,Return_to_owner,1,2.0,Blue/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26477,1,2015-07-15 15:28:00,Return_to_owner,1,4.0,White/Brown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20798,1,2015-10-22 18:08:00,Adoption,0,0.16666666666666666,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7869,1,2015-04-04 16:09:00,Adoption,1,2.0,Black,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23791,1,2014-12-24 11:05:00,Adoption,0,0.25,Orange Tabby/White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5913,1,2015-02-26 15:20:00,Euthanasia,1,2.0,White/Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
283,0,2015-04-30 14:43:00,Transfer,1,1.0,Cream,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20836,1,2014-08-18 18:34:00,Adoption,1,3.0,Brown/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23287,0,2015-11-19 19:31:00,Transfer,0,2.0,Orange Tabby,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
868,1,2015-02-07 17:31:00,Adoption,1,2.0,Fawn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6508,0,2013-11-08 15:50:00,Transfer,0,0.07407407407407407,Blue Tabby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9511,1,2015-06-10 16:16:00,Transfer,1,5.0,Tricolor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6388,1,2014-02-02 12:16:00,Adoption,1,2.0,Black/White,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13757,1,2016-01-18 18:45:00,Adoption,0,0.16666666666666666,Brown Tabby/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8389,0,2014-03-29 19:29:00,Transfer,1,0.16666666666666666,Cream,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1088,1,2015-02-21 16:49:00,Adoption,1,5.0,White,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17563,1,2013-10-08 11:44:00,Adoption,0,0.16666666666666666,Blue Tabby,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25261,1,2014-10-10 18:35:00,Adoption,1,3.0,Brown/White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23338,1,2015-05-24 19:45:00,Adoption,0,1.0,Tortie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3241,1,2016-01-29 16:22:00,Transfer,1,3.0,Black/White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23032,1,2015-03-18 15:29:00,Adoption,0,7.0,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20872,0,2014-09-20 08:47:00,Transfer,1,3.0,Red,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20943,1,2013-11-29 17:50:00,Adoption,0,0.8333333333333334,Calico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4417,1,2014-02-28 15:16:00,Return_to_owner,1,8.0,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
